status,approach,model_slug,device_profile,prompt_strategy,seed,entity_type,tp,fp,fn,precision,recall,f1
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,ORG,32,268,218,0.10666666666666667,0.128,0.11636363636363636
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,PERCENT,1,4,3,0.2,0.25,0.22222222222222224
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,PERSON,231,652,423,0.26160815402038506,0.3532110091743119,0.30058555627846456
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,PRODUCT,8,30,53,0.21052631578947367,0.13114754098360656,0.1616161616161616
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,QUANTITY,3,8,33,0.2727272727272727,0.08333333333333333,0.1276595744680851
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,TIME,0,13,4,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,TITLE,8,73,145,0.09876543209876543,0.05228758169934641,0.06837606837606837
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,WORK_OF_ART,13,76,145,0.14606741573033707,0.08227848101265822,0.10526315789473684
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,CARDINAL,66,117,174,0.36065573770491804,0.275,0.3120567375886525
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,DATE,70,343,273,0.1694915254237288,0.20408163265306123,0.18518518518518517
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,EVENT,4,88,91,0.043478260869565216,0.042105263157894736,0.04278074866310161
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,FAC,4,15,42,0.21052631578947367,0.08695652173913043,0.12307692307692308
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,GPE,240,463,326,0.3413940256045519,0.42402826855123676,0.37825059101654845
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,LANGUAGE,12,10,17,0.5454545454545454,0.41379310344827586,0.47058823529411764
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,LAW,1,7,5,0.125,0.16666666666666666,0.14285714285714288
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,LOC,9,29,41,0.23684210526315788,0.18,0.20454545454545453
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,MONEY,0,5,5,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,NORP,76,60,136,0.5588235294117647,0.3584905660377358,0.43678160919540227
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,ORDINAL,18,32,86,0.36,0.17307692307692307,0.2337662337662338
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,ORG,65,232,185,0.21885521885521886,0.26,0.23765996343692872
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,PERCENT,2,3,2,0.4,0.5,0.4444444444444445
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,PERSON,373,303,281,0.5517751479289941,0.5703363914373089,0.5609022556390977
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,PRODUCT,14,56,47,0.2,0.22950819672131148,0.2137404580152672
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,QUANTITY,7,8,29,0.4666666666666667,0.19444444444444445,0.27450980392156865
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,TIME,0,9,4,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,TITLE,21,83,132,0.20192307692307693,0.13725490196078433,0.16342412451361868
completed,llm_http,gemma-3-12b-it,gpu,three-shot,1771,WORK_OF_ART,45,80,113,0.36,0.2848101265822785,0.31802120141342755
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,CARDINAL,95,126,145,0.4298642533936652,0.3958333333333333,0.41214750542299355
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,DATE,107,301,236,0.2622549019607843,0.3119533527696793,0.28495339547270304
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,EVENT,4,84,91,0.045454545454545456,0.042105263157894736,0.04371584699453552
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,FAC,3,17,43,0.15,0.06521739130434782,0.09090909090909091
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,GPE,358,392,208,0.47733333333333333,0.6325088339222615,0.5440729483282675
completed,llm_http,gemma-3-12b-it,gpu,three-shot,2401,LANGUAGE,16,14,13,0.5333333333333333,0.5517241379310345,0.5423728813559322
